contented,"['upset', 'sad', 'unhappy', 'disturbed']"
satisfied,['unhappy']
influenced,['kept']
changed,"['placed', 'stored', 'permanent', 'kept', 'final']"
returned,"['held', 'kept', 'retained']"
exchanged,['kept']
kept,"['forgotten', 'abandoned', 'broken']"
reserved,"['excited', 'friendly', 'upset', 'given', 'disturbed', 'troubled', 'assured', 'bold', 'offered']"
composed,"['nervous', 'upset', 'worried', 'excited', 'angered']"
relaxed,"['excited', 'worried', 'planned', 'troubled', 'formal', 'stiff', 'difficult', 'violent', 'wild']"
informal,"['official', 'formal', 'stiff']"
intimate,"['far', 'cold', 'cool', 'away', 'loose', 'formal', 'public']"
warm,"['freezing', 'violent', 'cool', 'cooled', 'cold', 'unhappy', 'calm']"
sunny,"['upset', 'dark', 'unhappy']"
pleasant,"['boring', 'bad', 'mean', 'bitter', 'ugly', 'sad', 'unhappy', 'harsh', 'severe', 'nasty', 'offensive', 'troubling']"
sweet,"['acid', 'bitter', 'mean', 'ugly']"
acid,"['basic', 'kind', 'mild', 'sweet', 'nice']"
biting,"['pleasant', 'kind', 'mild', 'nice', 'calm', 'sweet']"
bitter,"['pleasant', 'content', 'kind', 'wonderful', 'sweet', 'mild', 'nice', 'good', 'helping']"
harsh,"['pleasant', 'kind', 'peaceful', 'pleasing', 'flexible', 'soft', 'yielding', 'easy', 'mild', 'nice', 'bright', 'sunny', 'calm', 'moderate', 'low', 'gentle', 'smooth']"
hard,"['vulnerable', 'pleasant', 'uncertain', 'soft', 'weak', 'delicate', 'flexible', 'yielding', 'easy', 'mild', 'simple', 'nice', 'sensitive']"
solid,"['divided', 'vulnerable', 'weak', 'little', 'slight', 'small', 'moving', 'flexible', 'soft', 'loose', 'thin', 'fluid', 'liquid', 'broken']"
tight,"['loose', 'weak', 'moderate', 'soft', 'flexible', 'calm', 'broken', 'slow', 'reasonable', 'yielding', 'comfortable', 'free', 'open', 'wide', 'giving', 'easy']"
strong,"['fragile', 'vulnerable', 'unable', 'vague', 'pale', 'loose', 'soft', 'weak', 'yielding', 'moving', 'little', 'small', 'easy', 'delicate', 'broken', 'mild', 'moderate', 'low']"
firm,"['vulnerable', 'weak', 'nice', 'easy', 'soft', 'flexible', 'yielding', 'loose', 'moving']"
tough,"['fragile', 'vulnerable', 'kind', 'weak', 'yielding', 'loose', 'flexible', 'soft', 'easy', 'delicate', 'gentle', 'nice', 'tender']"
stiff,"['bending', 'informal', 'soft', 'loose', 'flexible', 'casual', 'easy', 'calm', 'moderate', 'normal']"
thick,"['restricted', 'intelligent', 'wise', 'little', 'slight', 'small', 'easy', 'narrow', 'thin', 'loose', 'flexible', 'soft', 'weak', 'low', 'smart', 'clear', 'reasonable']"
heavy,"['tiny', 'small', 'thin', 'little', 'easy', 'slight', 'poor', 'light', 'gay', 'happy', 'moving']"
huge,"['tiny', 'minor', 'little', 'minute', 'small', 'short', 'poor', 'limited', 'narrow']"
enormous,"['tiny', 'little', 'minute', 'small', 'common', 'ordinary']"
excessive,"['needed', 'essential', 'necessary', 'moderate', 'reasonable', 'cheap', 'low', 'close', 'mild']"
extra,"['needed', 'used', 'usual', 'worn', 'basic', 'elementary', 'fundamental', 'necessary', 'common', 'normal', 'ordinary', 'old', 'main', 'essential']"
mixed,"['alike', 'like', 'similar', 'same', 'uniform', 'separate', 'single']"
different,"['alike', 'like', 'similar', 'resembling', 'standard', 'usual', 'united', 'same', 'common', 'normal', 'ordinary', 'uniform', 'correspondent', 'conventional']"
conflicting,['peaceful']
rival,"['assisting', 'associate', 'supporting']"
equal,"['unlike', 'changing', 'variable', 'varying', 'biased', 'unfair', 'different']"
identical,"['diverse', 'opposite', 'unlike', 'different', 'distinct']"
exact,"['uncertain', 'vague', 'wrong', 'loose']"
perfect,"['poor', 'bad', 'wrong', 'broken', 'part']"
ideal,"['wrong', 'actual', 'common', 'material', 'practical']"
fitting,['wrong']
proper,['general']
good,"['OK', 'minor', 'evil', 'poor', 'expected', 'ordinary', 'mean']"
great,"['tiny', 'few', 'unknown', 'stupid', 'little', 'minute', 'small', 'low', 'soft', 'weak', 'mild', 'moderate', 'limited', 'thin', 'short', 'poor']"
tremendous,"['usual', 'tiny', 'pleasant', 'wonderful', 'common', 'conventional', 'familiar', 'ordinary', 'plain', 'little', 'small', 'bad', 'poor', 'expected', 'normal', 'nice', 'weak', 'minute']"
fantastic,"['rational', 'real', 'usual', 'logical', 'tiny', 'balanced', 'reasonable', 'normal', 'ordinary', 'regular', 'realistic', 'familiar', 'serious', 'common', 'conventional', 'plain', 'little', 'small', 'bad', 'poor']"
incredible,"['possible', 'terrible', 'reasonable', 'realistic', 'bad', 'poor']"
ridiculous,"['possible', 'logical', 'usual', 'wise', 'bad', 'poor', 'reasonable', 'good', 'serious']"
silly,"['intelligent', 'wise', 'reasonable', 'responsible', 'smart', 'serious', 'practical']"
crazy,"['rational', 'collected', 'balanced', 'reasonable', 'sound', 'calm', 'realistic', 'responsible', 'smart', 'hate']"
nuts,"['rational', 'OK', 'balanced', 'reasonable', 'sound', 'calm']"
mad,"['collected', 'rational', 'wise', 'OK', 'calm', 'balanced', 'reasonable', 'sound', 'cheered', 'happy']"
disturbed,"['ordered', 'organized', 'neat']"
confused,"['composed', 'organized', 'understanding', 'ordered', 'separated', 'clear']"
puzzled,"['aware', 'clear', 'certain', 'sure']"
sent,['kept']
directed,['wandering']
controlled,['excited']
guarded,['bold']
calculating,"['honest', 'open']"
designing,"['honest', 'kind']"
sharp,"['stupid', 'honest', 'boring', 'old-fashioned', 'kind', 'slow', 'calm', 'mild', 'moderate', 'nice', 'flat', 'low']"
pointed,"['calming', 'mild', 'nice']"
peaked,"['healthy', 'colorful']"
ill,"['healthy', 'good', 'sound', 'strong', 'well']"
down,"['higher', 'above', 'happy']"
falling,"['improving', 'rising', 'increasing']"
shocking,"['comforting', 'pleasant', 'pleasing', 'wonderful', 'attractive', 'lovely', 'beautiful', 'calming', 'good', 'nice']"
terrible,"['pleasant', 'pleasing', 'wonderful', 'lucky', 'beautiful', 'calming', 'comforting', 'good', 'happy', 'nice', 'mild', 'great']"
disturbing,"['helpful', 'pleasant', 'pleasing', 'comforting', 'encouraging', 'easy', 'nice', 'good', 'happy']"
alarming,['comforting']
dangerous,"['honest', 'healthy', 'pleasant', 'wonderful', 'stable', 'pleasing', 'kind', 'OK', 'careful', 'guarded', 'true', 'strong', 'good', 'nice', 'safe', 'secure', 'great', 'certain', 'sure', 'happy']"
threatening,"['kind', 'far', 'pleasant', 'safe', 'nice', 'good', 'away', 'distant', 'remote']"
ugly,"['beautiful', 'pretty', 'pleasing', 'attractive', 'lovely', 'kind', 'pleasant', 'nice', 'good', 'delicate', 'gentle', 'safe']"
awful,"['encouraging', 'pleasant', 'pleasing', 'wonderful', 'comforting', 'kind', 'calming', 'attractive', 'beautiful', 'OK', 'happy', 'delicate', 'gentle', 'nice', 'good', 'safe', 'great']"
horrible,"['pleasant', 'pleasing', 'wonderful', 'attractive', 'beautiful', 'pretty', 'kind', 'calming', 'encouraging', 'comforting', 'good', 'nice', 'great', 'happy', 'gentle']"
nasty,"['kind', 'pleasant', 'pleasing', 'wonderful', 'moral', 'friendly', 'assisting', 'helpful', 'gentle', 'nice', 'tender', 'easy', 'good', 'pure', 'mild', 'calm', 'great', 'clean', 'decent', 'happy', 'aiding', 'helping', 'safe']"
dirty,"['ordered', 'moral', 'clean', 'clear', 'bright', 'neat', 'pure', 'decent', 'good', 'nice']"
black,"['white', 'clean', 'happy', 'good']"
jet,['white']
dark,"['intelligent', 'visible', 'evident', 'encouraging', 'moral', 'pleased', 'bright', 'clear', 'distinct', 'light', 'good', 'smart', 'sunny', 'happy', 'clean', 'brilliant', 'shining', 'apparent', 'plain']"
faint,"['intelligent', 'nearby', 'friendly', 'healthy', 'brave', 'bright', 'clear', 'distinct', 'smart', 'close', 'near', 'warm', 'sharp', 'thick', 'firm', 'strong', 'loud', 'certain', 'sure', 'rough', 'violent', 'harsh', 'colorful', 'heavy', 'bold']"
remote,"['known', 'loved', 'nearby', 'related', 'relevant', 'likely', 'possible', 'friendly', 'open', 'public', 'close', 'near', 'gentle', 'warm']"
unknown,"['usual', 'known', 'relevant', 'familiar', 'normal', 'identified', 'native', 'regular', 'common', 'named']"
exotic,"['boring', 'standard', 'usual', 'common', 'familiar', 'normal', 'regular', 'ordinary', 'native']"
romantic,"['usual', 'boring', 'real', 'familiar', 'ordinary', 'cold', 'cool', 'plain', 'realistic']"
fascinating,['boring']
gripping,['boring']
interesting,"['boring', 'usual', 'ugly', 'familiar', 'normal', 'ordinary']"
beautiful,"['horrible', 'ugly', 'bad', 'offensive', 'poor', 'ordinary', 'rough', 'plain']"
cute,"['offensive', 'ugly', 'unhappy']"
charming,"['boring', 'unhappy', 'ugly', 'bad', 'mean', 'offensive']"
absorbing,['boring']
arresting,"['usual', 'normal', 'ordinary', 'ugly']"
impressive,"['usual', 'poor', 'ordinary', 'normal', 'mild', 'moderate', 'common', 'little', 'small', 'weak']"
remarkable,"['usual', 'like', 'similar', 'standard', 'typical', 'common', 'ordinary', 'average', 'normal', 'bad', 'poor', 'regular', 'familiar']"
curious,"['usual', 'average', 'normal', 'ordinary']"
interested,"['bored', 'OK', 'fair']"
involved,"['simple', 'clear', 'easy']"
elaborate,"['usual', 'natural', 'easy', 'simple', 'general', 'normal', 'plain', 'regular']"
detailed,"['uncertain', 'vague', 'sparing', 'false', 'simple', 'brief']"
precise,"['vague', 'uncertain', 'general', 'flexible', 'yielding', 'loose', 'false']"
particular,"['usual', 'normal', 'ordinary', 'regular', 'general', 'common']"
distinct,"['uncertain', 'vague', 'connected', 'like', 'resembling', 'similar']"
specific,"['like', 'resembling', 'similar', 'standard', 'vague', 'uncertain', 'usual', 'normal', 'common', 'ordinary', 'general']"
limited,"['adequate', 'OK', 'sufficient', 'general', 'free']"
narrow,"['far', 'loose', 'strong', 'fat', 'free', 'open', 'giving', 'away', 'poor', 'thick', 'broad', 'generous', 'liberal', 'wide', 'accepting', 'wasting']"
thin,"['large', 'efficient', 'strong', 'fat', 'liberal', 'big', 'wide', 'thick', 'heavy', 'generous', 'colorful', 'dense', 'solid', 'concentrated']"
fragile,"['healthy', 'firm', 'strong', 'able', 'tough']"
weak,"['powerful', 'healthy', 'stable', 'brave', 'confident', 'capable', 'sufficient', 'guarded', 'protected', 'firm', 'steady', 'certain', 'sure', 'active', 'strong', 'able', 'bold', 'loud', 'fit', 'safe', 'secure', 'concentrated', 'thick']"
uncertain,"['determined', 'settled', 'reliable', 'certain', 'sure', 'clear', 'secure', 'decided', 'safe', 'resolved']"
risky,"['honest', 'healthy', 'stable', 'protected', 'certain', 'secure', 'sure', 'strong', 'well', 'safe', 'assured']"
sensitive,"['loose', 'calm', 'strong']"
nervous,"['brave', 'composed', 'confident', 'collected', 'sufficient', 'firm', 'certain', 'sure', 'calm', 'happy', 'bold', 'cool']"
afraid,"['brave', 'composed', 'confident', 'eager', 'calm', 'happy', 'bold', 'cool']"
scared,"['brave', 'confident', 'encouraged', 'bold', 'cool', 'happy']"
anxious,"['brave', 'composed', 'confident', 'collected', 'content', 'peaceful', 'bold', 'cool', 'happy', 'quiet', 'calm', 'assured']"
concerned,"['collected', 'peaceful', 'composed', 'calm', 'happy', 'cool']"
troubled,"['content', 'pleased', 'collected', 'composed', 'peaceful', 'settled', 'calm', 'happy', 'certain', 'sure', 'comforted', 'cool', 'quiet', 'balanced', 'sound']"
pained,"['collected', 'calm']"
wounded,"['healthy', 'perfect']"
disabled,"['healthy', 'firm', 'strong', 'able']"
weakened,"['active', 'firm', 'strong']"
exhausted,"['restored', 'stored', 'able', 'active', 'firm', 'strong', 'fresh', 'plenty', 'saved']"
drained,['full']
dragging,"['exciting', 'interesting']"
boring,"['exciting', 'interesting', 'intelligent', 'current', 'unusual', 'fascinating', 'smart', 'bright', 'new', 'different']"
demanding,"['uncertain', 'easy', 'flexible', 'nice', 'yielding', 'mild', 'simple']"
taxing,['easy']
trying,"['easy', 'mild', 'moderate']"
upsetting,"['helpful', 'pleasant', 'pleasing', 'comforting', 'encouraging', 'calming', 'easy', 'nice', 'good', 'settling', 'happy']"
discouraging,"['encouraging', 'pleasant', 'inspiring', 'bright', 'happy', 'light', 'sunny', 'favorable']"
secondary,"['useful', 'valuable', 'primary', 'huge', 'large', 'chief', 'important', 'significant', 'big', 'necessary', 'main', 'major', 'superior', 'source']"
supporting,"['opposing', 'main', 'against']"
main,"['minor', 'usual', 'extra', 'secondary', 'common', 'ordinary']"
major,"['tiny', 'lower', 'minor', 'junior', 'lesser', 'secondary', 'little', 'small', 'short', 'below']"
dominant,"['extra', 'minor', 'retiring', 'secondary', 'weak', 'modest', 'reserved']"
principal,"['lesser', 'minor', 'unknown', 'last', 'lower', 'least', 'extra', 'secondary', 'ordinary', 'poor']"
outstanding,"['unknown', 'usual', 'OK', 'settled', 'poor', 'little', 'small', 'weak', 'common', 'normal', 'ordinary', 'regular', 'low', 'average', 'paid', 'resolved']"
superior,"['usual', 'minor', 'lower', 'normal', 'ordinary', 'poor', 'bad', 'secondary', 'below']"
exclusive,"['old-fashioned', 'divided', 'shared', 'poor', 'open', 'public', 'part', 'partial']"
sole,"['combined', 'together', 'mixed', 'united', 'shared', 'common', 'general', 'ordinary']"
resting,['active']
asleep,"['awake', 'conscious']"
awake,['asleep']
alive,['dead']
conscious,['uncertain']
sure,"['uncertain', 'variable', 'doubted']"
confident,"['uncertain', 'afraid', 'shy', 'weak', 'depressed', 'sad']"
bold,"['retiring', 'afraid', 'shy', 'weak', 'quiet', 'faint', 'fair', 'light']"
daring,"['careful', 'afraid', 'shy', 'weak', 'chicken']"
smart,"['stupid', 'typical', 'honest', 'worn', 'light', 'dark', 'normal', 'slow', 'old']"
wise,"['stupid', 'kind']"
experienced,"['unable', 'green']"
capable,"['unable', 'stupid', 'green', 'weak']"
appropriate,['evil']
consistent,"['disagreeing', 'varying']"
steady,"['vulnerable', 'different', 'flexible', 'soft', 'moving', 'weak', 'broken']"
constant,"['temporary', 'interrupted', 'changing', 'varying', 'concluding', 'flagging', 'broken', 'different', 'ending', 'stopping']"
regular,"['unusual', 'special', 'extraordinary', 'changing', 'variable', 'different', 'rare']"
formal,"['informal', 'ordinary', 'relaxed', 'normal']"
academic,"['ordinary', 'plain', 'practical', 'simple']"
intellectual,"['stupid', 'body', 'physical', 'simple']"
mental,"['physical', 'body', 'balanced']"
spiritual,['physical']
divine,['ordinary']
holy,"['evil', 'uncertain', 'bad']"
pure,"['complicated', 'vague', 'mixed', 'uncertain', 'applied', 'false', 'complex', 'difficult', 'decorated', 'dark', 'dirty']"
real,"['hidden', 'uncertain', 'vague', 'spiritual', 'false', 'mental', 'flexible']"
actual,"['uncertain', 'spiritual', 'pretended', 'theoretical', 'mental', 'false', 'past']"
certain,"['uncertain', 'doubting']"
positive,"['uncertain', 'vague', 'negative', 'flexible', 'yielding']"
clear,"['mysterious', 'vague', 'guilty', 'uncertain', 'dark', 'blocked', 'closed', 'clouded', 'responsible']"
fair,"['biased', 'illegal', 'unfair', 'lying', 'mean', 'partial', 'decided', 'dark', 'ugly']"
civil,['foreign']
local,"['broad', 'liberal', 'foreign']"
urban,"['country', 'rural', 'suburban']"
downtown,"['country', 'minor', 'rural', 'suburban', 'secondary']"
central,"['minor', 'additional', 'extra', 'outer', 'secondary', 'outside', 'extreme']"
key,"['lesser', 'minor', 'additional', 'extra', 'secondary']"
leading,"['unknown', 'least', 'extra', 'minor', 'last', 'secondary', 'low', 'ordinary', 'final']"
top,"['lower', 'minor', 'least', 'lowest', 'secondary', 'poor', 'bad', 'below', 'low']"
primary,"['last', 'advanced', 'extra', 'minor', 'secondary', 'sophisticated']"
initial,"['following', 'last', 'closing', 'final']"
original,"['last', 'latest', 'borrowed', 'used', 'worn', 'newest', 'old']"
pioneer,"['following', 'last', 'later', 'secondary', 'late']"
head,"['extra', 'least', 'minor', 'last', 'lower', 'second', 'secondary', 'final']"
champion,"['lower', 'minor', 'least', 'extra', 'worst', 'bad', 'poor', 'secondary', 'poorest']"
super,"['ordinary', 'bad', 'poor']"
terrific,"['pleasant', 'pleasing', 'wonderful', 'tiny', 'little', 'minute', 'small', 'good', 'calm', 'moderate', 'bad', 'low', 'nasty', 'poor']"
extreme,"['least', 'lowest', 'calm', 'mild', 'moderate', 'low', 'limited', 'close', 'near']"
severe,"['kind', 'friendly', 'willing', 'compromising', 'calm', 'easy', 'mild']"
serious,"['minor', 'false', 'funny', 'happy', 'light']"
genuine,"['uncertain', 'false', 'affected']"
natural,"['extraordinary', 'unusual', 'changing', 'pretended', 'rare', 'foreign', 'particular', 'different', 'affected', 'artificial', 'fixed', 'modified']"
logical,"['unlikely', 'vague', 'stupid']"
necessary,"['voluntary', 'additional', 'extra', 'minor', 'secondary']"
fundamental,"['lesser', 'minor', 'least', 'learned', 'additional', 'advanced', 'extra', 'secondary']"
crucial,"['voluntary', 'minor', 'secondary']"
deciding,"['minor', 'secondary']"
chief,"['extra', 'minor', 'lower', 'secondary', 'bad', 'poor']"
star,"['lesser', 'minor', 'extra', 'unknown', 'secondary']"
celebrated,"['unknown', 'plain']"
important,"['voluntary', 'tiny', 'minor', 'unknown', 'little', 'short', 'small', 'weak', 'narrow', 'secondary']"
extensive,"['tiny', 'exclusive', 'restricted', 'limited', 'narrow', 'little', 'small', 'slight', 'short']"
comprehensive,"['restricted', 'specific', 'exclusive', 'empty', 'short', 'narrow', 'limited', 'partial', 'particular']"
full,"['lacking', 'wanting', 'hungry', 'empty']"
entire,"['part', 'partial', 'limited']"
open,"['restricted', 'locked', 'vague', 'lying', 'limited', 'closed', 'shut', 'blocked', 'certain', 'decided', 'sure']"
accessible,"['restricted', 'limited']"
available,"['unlikely', 'limited', 'occupied', 'impossible']"
possible,"['unlikely', 'impossible']"
potential,"['unlikely', 'lacking', 'impossible']"
likely,"['unlikely', 'impossible']"
reasonable,"['biased', 'unfair', 'unlikely', 'expensive', 'stupid', 'partial', 'assured', 'bold']"
cheap,"['expensive', 'excellent', 'valuable', 'costly', 'dear', 'precious', 'superior', 'sophisticated', 'upper']"
aggressive,['calm']
offensive,"['pleasant', 'pleasing', 'kind', 'welcome', 'moral', 'honest', 'defensive', 'nice', 'good', 'clean', 'defending', 'guarding']"
gross,"['net', 'moral', 'hidden', 'vague', 'little', 'slight', 'small', 'weak', 'thin', 'part', 'partial', 'clean', 'modified']"
big,"['tiny', 'adolescent', 'baby', 'little', 'minute', 'small', 'slight', 'thin', 'poor', 'infant', 'shy']"
fat,"['tiny', 'lean', 'small', 'thin', 'slight', 'little', 'soft', 'poor']"
large,"['tiny', 'minor', 'restricted', 'exclusive', 'little', 'minute', 'small', 'empty', 'narrow', 'poor', 'short', 'slight', 'limited']"
giant,"['tiny', 'minor', 'little', 'minute', 'small']"
vast,"['tiny', 'restricted', 'small', 'narrow', 'little', 'minute', 'limited', 'short', 'ending']"
broad,"['tiny', 'restricted', 'limited', 'narrow', 'quiet', 'little', 'small', 'thin', 'empty']"
generous,"['biased', 'stupid', 'wanting', 'mean', 'small']"
helpful,"['minor', 'hurting', 'cold', 'cool']"
useful,['bad']
effective,"['unable', 'weak']"
efficient,"['unable', 'fragile', 'delicate', 'weak']"
productive,"['hurting', 'weak']"
dynamic,"['boring', 'weak']"
influential,"['unknown', 'weak']"
famous,"['unknown', 'typical', 'usual', 'stupid', 'low', 'normal', 'ordinary', 'bad', 'poor', 'regular', 'weak', 'common', 'little', 'small']"
honored,"['unknown', 'shamed']"
understood,"['stated', 'explained', 'explicit', 'expressed', 'spoken', 'written']"
pat,['wrong']
happy,"['upset', 'disappointed', 'discouraged', 'pained', 'depressed', 'grave', 'sad', 'serious', 'unhappy', 'disturbed', 'troubled', 'down']"
delighted,"['bored', 'disappointed', 'pained', 'depressed', 'sad', 'unhappy', 'troubled']"
pleased,['unhappy']
content,"['upset', 'wanting', 'unhappy', 'depressed', 'disturbed']"
prepared,['unable']
able,"['unable', 'stupid', 'slow', 'delicate', 'weak']"
easy,"['complicated', 'vague', 'demanding', 'exhausting', 'trying', 'difficult', 'hard', 'complex', 'involved', 'impossible', 'strict', 'unhappy']"
simple,"['complicated', 'vague', 'exacting', 'older', 'aware', 'intelligent', 'difficult', 'hard', 'involved', 'complex', 'decorated', 'sophisticated', 'smart']"
plain,"['vague', 'complicated', 'hidden', 'extraordinary', 'attractive', 'beautiful', 'pretty', 'complex', 'difficult', 'decorated', 'formal']"
