contented,"['upset', 'sad', 'unhappy', 'disturbed']"
athletic,"['weak', 'delicate', 'soft']"
reduced,"['increased', 'spread', 'stretched', 'raised']"
raised,"['lowered', 'reduced']"
educated,['stupid']
learned,"['stupid', 'green']"
grave,"['excited', 'ridiculous', 'silly', 'light', 'funny', 'happy']"
staid,"['excited', 'fun', 'sporting', 'willing']"
fun,"['boring', 'tiring', 'unhappy', 'bad', 'sad']"
instant,"['old-fashioned', 'future', 'delayed', 'later', 'slow', 'old', 'past', 'late']"
future,"['later', 'past', 'distant']"
inevitable,"['later', 'uncertain', 'unlikely', 'distant']"
approaching,"['later', 'passing', 'distant', 'remote']"
booked,['free']
charged,['empty']
filled,['empty']
budgeted,['debt']
deadly,"['kind', 'helpful', 'healthy', 'calm', 'nice', 'gentle']"
cruel,"['kind', 'pleasing', 'friendly', 'pleasant', 'moral', 'helpful', 'feeling', 'nice', 'easy', 'gentle', 'mild', 'giving', 'good', 'decent']"
painful,"['helpful', 'pleasant', 'pleasing', 'wonderful', 'friendly', 'easy', 'nice', 'good', 'mild', 'simple', 'great', 'calm']"
uncomfortable,"['pleasing', 'kind', 'pleasant', 'content', 'easy', 'nice', 'mild', 'soft', 'simple', 'comfortable', 'happy']"
difficult,"['helpful', 'friendly', 'easy', 'nice', 'calm', 'free', 'plain', 'simple']"
confusing,"['clear', 'easy', 'plain', 'simple']"
subtle,"['stupid', 'honest', 'hard', 'harsh', 'open']"
embarrassed,['composed']
smarting,"['healthy', 'experienced', 'pleasant', 'kind', 'pleasing', 'good', 'calm', 'mild', 'nice', 'moderate', 'low']"
bloody,"['pleasing', 'closed', 'shut']"
much,['little']
enough,['lacking']
adequate,"['unable', 'poor']"
lacking,"['enough', 'sufficient', 'having']"
missing,"['adequate', 'enough', 'sufficient', 'found', 'here', 'present']"
wanting,"['existing', 'adequate', 'enough', 'sufficient', 'present', 'perfect']"
failing,"['adequate', 'enough', 'sufficient', 'healthy', 'OK', 'thriving', 'strong', 'well']"
endless,"['completed', 'interrupted', 'changing', 'temporary', 'restricted', 'occasional', 'passing', 'ceasing', 'ending', 'finished', 'stopping', 'brief', 'limited', 'broken', 'completing', 'finishing']"
ceasing,"['complete', 'create', 'continue', 'do', 'begin', 'start', 'bear', 'open', 'go', 'initiate']"
many,['few']
crowded,"['deserted', 'empty', 'loose']"
packed,"['deserted', 'empty', 'clear']"
wrapped,['uncovered']
dense,"['intelligent', 'easy', 'soft', 'clear', 'open', 'scattered', 'thin', 'smart']"
piled,"['poverty', 'hole']"
scattered,"['connected', 'together', 'united', 'gathered', 'organized', 'concentrated', 'assembled']"
shared,['excluded']
widespread,"['local', 'concentrated', 'limited', 'narrow']"
few,"['useful', 'large', 'many', 'much', 'important', 'major', 'significant', 'big', 'fat', 'tall', 'thick']"
minute,"['huge', 'large', 'giant', 'significant', 'substantial', 'big', 'considerable', 'important', 'rough']"
tiny,"['large', 'huge', 'giant', 'enormous', 'vast', 'important', 'significant', 'big', 'great']"
pocket,"['large', 'huge', 'giant', 'big', 'tall', 'important']"
tall,"['tiny', 'little', 'short', 'small', 'low', 'reasonable']"
impossible,"['logical', 'possible', 'practical', 'reasonable', 'behaving', 'good']"
significant,['minor']
convincing,"['unlikely', 'weak', 'incredible']"
telling,"['weak', 'secondary']"
devastating,['blessed']
material,"['spiritual', 'mental', 'false']"
physical,"['spiritual', 'psychological', 'mental']"
concrete,"['abstract', 'bending', 'general', 'ideal', 'flexible']"
psychological,"['physical', 'body']"
experimental,"['tested', 'tried', 'proven']"
preliminary,"['additional', 'extra', 'closing', 'concluding', 'secondary', 'final']"
trial,"['known', 'proven']"
elementary,"['additional', 'advanced', 'extra', 'complicated', 'secondary', 'complex', 'compound', 'difficult', 'hard', 'involved']"
simplest,"['complicated', 'vague', 'exacting', 'older', 'aware', 'intelligent', 'difficult', 'hard', 'involved', 'complex', 'decorated', 'sophisticated', 'smart']"
older,['younger']
elder,"['younger', 'youngest']"
senior,"['minor', 'junior', 'behind']"
younger,"['experienced', 'healthy', 'adult', 'older', 'old', 'sophisticated']"
adult,"['adolescent', 'infant']"
youngest,"['experienced', 'healthy', 'adult', 'older', 'old', 'sophisticated']"
eldest,"['young', 'current', 'modern', 'new', 'green', 'fresh', 'contemporary', 'late', 'recent']"
veteran,['green']
green,"['healthy', 'experienced', 'dying', 'adult', 'shrinking', 'expert', 'skilled', 'old']"
dying,"['permanent', 'growing', 'living', 'creating', 'developing']"
innocent,"['guilty', 'evil', 'experienced', 'bad', 'cunning']"
guilty,"['immune', 'moral', 'right', 'good', 'innocent']"
responsible,"['excused', 'immune', 'innocent', 'right', 'free']"
subject,"['guarded', 'protected', 'independent', 'unlikely', 'chief', 'primary', 'safe', 'superior', 'certain', 'sure', 'free', 'master']"
governed,['free']
regulated,"['upset', 'confused']"
managed,"['wild', 'free']"
urged,"['discouraged', 'condemned', 'opposed', 'prohibited']"
damned,"['favored', 'welcome', 'nice', 'good']"
wanted,"['satisfied', 'abandoned']"
tailed,"['beginning', 'start', 'front', 'head']"
rear,"['front', 'first', 'beginning']"
front,"['last', 'rear', 'back', 'ending', 'final', 'finishing']"
wished,['hate']
longing,['hating']
hungry,"['satisfied', 'stuffed', 'full']"
choice,"['worst', 'bad', 'poor', 'common', 'ordinary', 'sad']"
prize,"['worst', 'lower', 'poor']"
winning,"['failing', 'losing']"
desperate,"['peaceful', 'confident', 'content', 'satisfied', 'contented', 'afraid', 'shy', 'weak', 'quiet', 'calm', 'mild', 'moderate', 'secure']"
elite,"['lower', 'worst', 'poor', 'bad', 'common', 'ordinary']"
greatest,"['tiny', 'few', 'unknown', 'stupid', 'little', 'minute', 'small', 'low', 'soft', 'weak', 'mild', 'moderate', 'limited', 'thin', 'short', 'poor']"
capital,"['lesser', 'minor', 'last', 'additional', 'extra', 'least', 'secondary', 'poor']"
crack,"['lower', 'minor', 'worst', 'poor', 'bad']"
best,"['last', 'worst', 'least', 'minor', 'extra', 'poor', 'low', 'poorest', 'secondary', 'fewest']"
premium,"['poor', 'low']"
maximum,"['lowest', 'least', 'worst', 'minimum', 'smallest', 'low']"
most,['least']
better,"['worse', 'smaller', 'sicker', 'littler', 'tinier']"
biggest,"['tiny', 'adolescent', 'baby', 'little', 'minute', 'small', 'slight', 'thin', 'poor', 'infant', 'shy']"
baby,"['enormous', 'giant', 'huge', 'large', 'big', 'important', 'tall']"
proud,"['unknown', 'sad', 'sorry', 'modest']"
glad,"['upset', 'sad', 'unhappy']"
cheering,['discouraging']
promising,['unhappy']
gay,"['discouraged', 'upset', 'worried', 'sad', 'unhappy', 'depressed', 'plain']"
brave,"['careful', 'retiring', 'afraid', 'shy', 'mild', 'weak']"
beaming,"['frowning', 'ugly', 'sad', 'unhappy']"
bigger,"['tiny', 'adolescent', 'baby', 'little', 'minute', 'small', 'slight', 'thin', 'poor', 'infant', 'shy']"
longer,"['little', 'short', 'small', 'weak', 'soft', 'low']"
sustained,"['interrupted', 'ending', 'stopping']"
fitter,"['stupid', 'unable', 'wrong', 'poor', 'weak']"
fitted,"['lacking', 'wrong', 'needing']"
finer,"['stupid', 'usual', 'offensive', 'ugly', 'bad', 'ordinary', 'poor', 'regular', 'cheap', 'small', 'common', 'dark', 'rough', 'thick']"
handsome,"['ugly', 'rough', 'wrinkled', 'poor', 'small']"
shorter,"['higher', 'longer', 'taller']"
briefer,"['enormous', 'huge', 'large', 'kind', 'enduring', 'big', 'important', 'long']"
short-term,['permanent']
taller,"['tiny', 'little', 'short', 'small', 'low', 'reasonable']"
sicker,"['healthy', 'moral', 'content', 'pleased', 'satisfied', 'well', 'sound', 'strong', 'perfect', 'clean', 'gentle', 'nice', 'happy']"
bored,"['excited', 'interested']"
littler,"['adequate', 'sufficient', 'large', 'huge', 'older', 'giant', 'enormous', 'massive', 'big', 'fat', 'long', 'tall', 'substantial', 'great', 'important', 'open']"
tinier,"['large', 'huge', 'giant', 'enormous', 'vast', 'important', 'significant', 'big', 'great']"
repairing,"['breaking', 'damage', 'destruction', 'harm', 'hurt', 'injury']"
breaking,"['enduring', 'strong']"
healthier,['bad']
stimulating,"['discouraging', 'upsetting', 'boring']"
stronger,"['fragile', 'vulnerable', 'unable', 'vague', 'pale', 'loose', 'soft', 'weak', 'yielding', 'moving', 'little', 'small', 'easy', 'delicate', 'broken', 'mild', 'moderate', 'low']"
handful,"['lot', 'mass']"
loud,"['little', 'small', 'weak', 'shy', 'quiet', 'silent', 'calm', 'moderate', 'low', 'mild', 'soft']"
ringing,"['low', 'soft', 'weak']"
crashing,['uncertain']
worst,['best']
choicest,"['worst', 'bad', 'poor', 'common', 'ordinary', 'sad']"
precious,"['cheap', 'common']"
dearest,"['cool', 'common', 'cheap']"
poorest,"['wealthy', 'adequate', 'sufficient', 'lucky', 'rich', 'full', 'superior', 'strong', 'great', 'happy']"
fewest,"['useful', 'large', 'many', 'much', 'important', 'major', 'significant', 'big', 'fat', 'tall', 'thick']"
noted,"['unknown', 'ordinary', 'common']"
taught,['stupid']
instructed,['stupid']
master,"['minor', 'green', 'copy']"
bonded,"['uncertain', 'free']"
immune,['vulnerable']
criminal,"['authorized', 'ethical', 'legal', 'legitimate', 'moral', 'kind', 'proper', 'good', 'right', 'blessed', 'pure', 'correct']"
cunning,"['stupid', 'kind', 'slow', 'rough', 'shy']"
seasoned,['unable']
professional,"['unable', 'stupid', 'green']"
dated,"['current', 'modern', 'new']"
continuing,['temporary']
chronic,"['temporary', 'interrupted', 'occasional', 'ceasing', 'ending', 'stopping']"
mere,"['uncertain', 'enormous', 'huge', 'large', 'extraordinary', 'excellent', 'decorated', 'superior', 'great', 'big', 'important']"
animal,"['gentle', 'mild']"
true,"['unusual', 'lying', 'unfair', 'changing', 'evil', 'wrong', 'false', 'affected', 'different', 'cheating']"
unfair,"['ethical', 'honest', 'moral', 'authorized', 'legal', 'appropriate', 'suitable', 'reasonable', 'fair', 'good', 'right', 'correct', 'decent', 'just']"
biased,['fair']
toxic,"['healthy', 'helpful', 'kind']"
fatal,"['healthy', 'assisting', 'helpful', 'blessed', 'vital']"
nursed,"['ignore', 'block', 'cease', 'destroy', 'refuse', 'condemn', 'injure', 'hurt', 'stop', 'discourage']"
leveled,"['unfair', 'unlike', 'changing', 'variable', 'vertical', 'extraordinary', 'unusual', 'rough', 'different', 'broken', 'rare']"
rolled,"['straight', 'spread']"
evened,"['varying', 'interrupted', 'changing', 'unfair', 'unlike', 'variable', 'vertical', 'biased', 'broken', 'rough', 'different', 'troubled', 'partial']"
balanced,"['biased', 'unfair', 'partial']"
level,"['unfair', 'unlike', 'changing', 'variable', 'vertical', 'extraordinary', 'unusual', 'rough', 'different', 'broken', 'rare']"
varying,"['stable', 'fixed']"
drawn,"['fresh', 'relaxed']"
lay,['professional']
secular,"['holy', 'spiritual', 'mental', 'religious']"
religious,['evil']
sacred,"['lay', 'vulnerable', 'open']"
surface,"['central', 'interior', 'middle', 'deep', 'core', 'inside']"
outer,"['central', 'middle', 'interior', 'inner']"
interior,"['external', 'outer', 'public', 'business', 'open', 'revealed', 'outside']"
gut,"['outside', 'material', 'physical']"
external,"['relevant', 'national', 'central', 'interior', 'middle', 'internal', 'native', 'inside']"
out,"['existing', 'stored', 'interested', 'modern', 'in', 'possible', 'saved', 'warm', 'new', 'here']"
standing,"['variable', 'temporary']"
encouraged,['discouraged']
blue,"['gay', 'happy', 'clean', 'decent']"
beat,"['rested', 'fresh']"
rested,"['asleep', 'fatigued', 'tired']"
recovered,"['dropped', 'lost', 'missed', 'ill', 'sicker']"
missed,"['existing', 'located', 'remembered', 'hated', 'found']"
ranked,['disordered']
hazarded,"['safety', 'protection', 'reality', 'determination', 'fact', 'proof']"
chanced,"['planned', 'understood', 'designed']"
weighed,['ignore']
occupying,"['gone', 'leaving', 'removing']"
sitting,['standing']
complaining,"['appreciating', 'enjoying', 'praising']"
objecting,"['nothing', 'subject']"
intent,"['flexible', 'soft', 'weak', 'distracted']"
punished,"['cleared', 'released']"
stimulated,['calm']
left,['right']
receiving,"['awarding', 'giving']"
inheriting,"['fail', 'lose']"
altered,"['held', 'sustained', 'continued', 'kept', 'maintained', 'preserved', 'retained']"
rebuilt,['broken']
righted,"['evil', 'illegal', 'unfair', 'false', 'wrong', 'mad', 'left']"
torn,"['OK', 'working', 'fixed', 'healed', 'perfect', 'certain', 'decided', 'sure']"
financed,"['refuse', 'reject', 'discourage', 'hurt', 'take']"
city,['rural']
municipal,"['country', 'suburban']"
corporate,['separate']
joint,"['divided', 'separated', 'separate', 'single']"
metropolitan,"['country', 'rural']"
country,"['metropolitan', 'city', 'urban']"
rural,"['metropolitan', 'urban', 'city', 'suburban']"
suburban,"['metropolitan', 'urban']"
blanket,['limited']
worldwide,"['local', 'limited']"
pretty,"['offensive', 'ugly']"
treasuring,"['poverty', 'debt']"
reserving,"['debt', 'nothing', 'warmth']"
included,"['rejected', 'excluded']"
opposite,"['agreeing', 'similar', 'like']"
reversed,"['ordered', 'established']"
deeper,"['restricted', 'pale', 'narrow', 'shallow', 'open', 'light', 'quiet', 'soft']"
heavier,"['tiny', 'small', 'thin', 'little', 'easy', 'slight', 'poor', 'light', 'gay', 'happy', 'moving']"
wider,"['restricted', 'tiny', 'empty', 'narrow', 'small', 'little', 'limited', 'straight']"
fewer,"['useful', 'large', 'many', 'much', 'important', 'major', 'significant', 'big', 'fat', 'tall', 'thick']"
tragic,"['lucky', 'healthy', 'pleasant', 'pleasing', 'wonderful', 'comforting', 'excellent', 'calming', 'encouraging', 'successful', 'happy', 'great', 'blessed', 'good', 'nice']"
calming,['upsetting']
bordering,"['far', 'separate', 'apart']"
practically,['far']
seeing,['asleep']
observing,['stupid']
remarking,"['silence', 'question', 'failure']"
slighter,"['large', 'useful', 'likely', 'important', 'major', 'significant', 'big', 'great', 'tall', 'thick']"
borrowed,['owned']
owned,['lost']
bought,['sold']
live,['dead']
controversial,"['peaceful', 'certain', 'sure']"
wandering,['settled']
traveling,"['permanent', 'fixed']"
loving,"['cold', 'cool', 'mean', 'hating']"
peeled,['insides']
through,['stopping']
shortest,"['enduring', 'large', 'adequate', 'enough', 'sufficient', 'kind', 'long', 'high', 'tall', 'thick']"
succeeding,['previous']
theoretical,"['objective', 'real', 'concrete', 'material', 'physical', 'simple', 'certain', 'proven']"
profited,"['resource', 'lack', 'debt', 'payment', 'loss', 'need', 'want', 'bills']"
won,"['beaten', 'defeated', 'lost']"
triumphed,"['disaster', 'loss', 'failure']"
homer,"['outside', 'foreign', 'business', 'commercial']"
industrial,['domestic']
mechanical,"['manual', 'conscious', 'feeling']"
automatic,['manual']
electric,['boring']
manual,['automatic']
behaved,['stop']
alone,['together']
closest,"['far', 'distant', 'remote', 'away', 'beyond', 'loose', 'open', 'cool', 'dry', 'generous', 'giving']"
nearest,"['far', 'gone', 'away', 'distant', 'separate', 'cool', 'remote', 'past']"
grasping,['generous']
reluctant,"['confident', 'willing', 'eager', 'ready', 'certain', 'sure', 'bold', 'anxious']"
delaying,['advancing']
still,"['variable', 'broken', 'moving', 'stirred']"
speaking,['written']
average,"['extraordinary', 'unusual', 'extreme', 'rare', 'outstanding']"
mainstream,"['unusual', 'extraordinary', 'secondary', 'rare']"
daily,"['variable', 'unusual', 'extraordinary', 'different', 'rare']"
surrounded,['free']
fenced,['opening']
boards,"['individual', 'one']"
stakes,['whole']
chance,"['planned', 'understood', 'designed']"
colored,"['white', 'honest', 'real', 'genuine']"
washed,"['dirty', 'soiled']"
purposing,"['hate', 'beginning', 'start']"
voluntary,['forced']
freely,"['bound', 'limited']"
willed,"['hate', 'weakness', 'question']"
protective,"['threatening', 'attacking']"
sheltering,['light']
disputing,"['quiet', 'calm', 'agreement', 'peace', 'harmony']"
rioting,"['calm', 'order', 'peace', 'agreement', 'harmony', 'organization']"
innovative,"['old-fashioned', 'worn', 'traditional', 'old']"
ongoing,['stopping']
exported,"['hold', 'keep', 'retain', 'buy', 'import']"
colorful,"['pale', 'faded', 'boring', 'plain', 'simple', 'weak']"
mated,"['enemy', 'opponent', 'stranger']"
coordinate,"['unlike', 'variable', 'different']"
fallen,['honored']
blind,"['seeing', 'sighted', 'aware', 'understanding', 'uncovered', 'cunning', 'quick', 'sharp', 'controlled', 'open', 'revealed']"
observed,"['forgotten', 'abandoned']"
patrolled,['ignore']
rounds,"['lacking', 'tiny', 'straight', 'small', 'low', 'soft', 'weak']"
iron,"['flexible', 'loose', 'soft', 'yielding', 'moving', 'slight', 'weak']"
bombed,['straight']
bursting,"['peaceful', 'stable', 'calm']"
lighted,"['unhappy', 'dark', 'black', 'heavy', 'difficult', 'grave', 'serious']"
drugged,['clean']
channeled,['denial']
seeming,"['real', 'true']"
slightest,"['large', 'useful', 'likely', 'important', 'major', 'significant', 'big', 'great', 'tall', 'thick']"
merest,"['uncertain', 'enormous', 'huge', 'large', 'extraordinary', 'excellent', 'decorated', 'superior', 'great', 'big', 'important']"
tiniest,"['large', 'huge', 'giant', 'enormous', 'vast', 'important', 'significant', 'big', 'great']"
meanest,"['kind', 'generous', 'nice', 'extreme']"
minutest,"['huge', 'large', 'giant', 'significant', 'substantial', 'big', 'considerable', 'important', 'rough']"
spent,"['existing', 'living', 'restored', 'stored', 'alive', 'active', 'strong', 'fresh', 'saved', 'straight', 'retained']"
shown,"['covered', 'withdrawn']"
braved,"['careful', 'retiring', 'afraid', 'shy', 'mild', 'weak']"
earliest,['latest']
trailing,"['leading', 'ahead', 'guiding']"
boiling,"['freezing', 'cold', 'cool', 'happy']"
baking,['freezing']
artistic,"['horrible', 'scientific', 'ugly']"
aesthetic,['ugly']
forbidding,"['kind', 'friendly', 'nice', 'gentle']"
strategic,['loose']
jarring,"['firm', 'smooth', 'steady']"
clinical,['feeling']
threatened,"['guarded', 'protected', 'safe']"
homeless,['settled']
grateful,['mean']
contenting,"['upset', 'wanting', 'unhappy', 'depressed', 'disturbed']"
wooden,"['bending', 'flexible']"
tending,['avoiding']
realistic,['excited']
thinking,"['stupid', 'dumb']"
multiple,"['similar', 'same', 'uniform', 'single', 'separate']"
piping,"['stupid', 'slow', 'low', 'soft']"
stuck,['aware']
leagued,['separation']
class,"['old-fashioned', 'boring', 'calm', 'plain']"
swinging,"['old-fashioned', 'old']"
hip,"['old-fashioned', 'worn', 'old', 'slow']"
edged,"['inside', 'interior', 'middle', 'surface', 'center', 'bottom', 'block']"
side,"['chief', 'important', 'vital', 'direct', 'necessary', 'superior', 'major', 'serious']"
charted,['disorder']
breathed,"['hide', 'secret']"
damaging,"['assisting', 'helpful', 'favorable']"
hinted,"['information', 'lot']"
quieted,"['complicated', 'loud', 'troubled', 'complex']"
stilled,"['variable', 'broken', 'moving', 'stirred']"
historic,['unknown']
virtual,"['real', 'actual']"
adopting,"['deny', 'release', 'refuse', 'reject', 'disagree', 'oppose', 'give', 'return']"
canceled,"['create', 'sanction', 'construct', 'aid', 'assist', 'permit', 'build', 'keep', 'restore', 'approve', 'continue', 'enact', 'begin', 'start', 'lose', 'fix', 'establish', 'support', 'help', 'allow', 'strengthen', 'bear', 'add', 'arrange', 'tip']"
laughing,"['boring', 'tiring']"
camp,['calm']
swollen,"['shrunken', 'contracted']"
sexual,"['cool', 'cold']"
assaulting,['retreat']
punishing,['easy']
newest,"['old-fashioned', 'like', 'similar', 'standard', 'usual', 'future', 'worn', 'existing', 'old', 'normal', 'common', 'familiar', 'regular', 'past']"
conceiving,"['avoid', 'release', 'destroy', 'lose', 'fail', 'know', 'miss']"
civilian,['military']
military,"['peaceful', 'civilian']"
blond,['dark']
yellow,"['brave', 'confident', 'strong', 'bold']"
sneaking,"['honest', 'stupid', 'rough']"
crystal,['clouded']
grander,"['tiny', 'small', 'ordinary', 'common', 'poor', 'bad', 'modest', 'low']"
strongest,"['fragile', 'vulnerable', 'unable', 'vague', 'pale', 'loose', 'soft', 'weak', 'yielding', 'moving', 'little', 'small', 'easy', 'delicate', 'broken', 'mild', 'moderate', 'low']"
anonymous,"['known', 'named', 'identified']"
bearding,['hide']
scary,"['calming', 'encouraging', 'normal']"
plus,['negative']
